127.0.0.1 - - [11/Sep/2021:14:11:24 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/studentofClass.js HTTP/1.1" 404 1138
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/topic.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/expense.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/enquiry.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/employeeTimesheet.js HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/accountList.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/enquiryBirthday.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/headDrop.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/studentBirthday.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/employeeBirthday.js HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/loginLocation.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/contact.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/feedbackQuestion.js HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/studentFeedbackReport.js HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/studentFeedbackMaster.js HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/blog.js HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/post.js HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/summaryReport.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/tutorialPost.js HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/blogAccess.js HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/blogAccessReport.js HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/interviewStatus.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/yearlyReport.js HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/shortEnquiry.js HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/eqLogin.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/employeeLeave.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/leaveDetail.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/myLeaveReport.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/enquiryFollowup.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/enquiryTodaysFollowup.js HTTP/1.1" 404 1145
